slope_ET,slope_Q,slope_Sed,model
1.732094751,0.374125632,5.74E-06,CNRM_CM5_RCP45
0.00625478,0.353600073,0.002837852,CNRM_CM5_RCP45
0.00215734,0.080409224,0.003282888,CNRM_CM5_RCP45
0.871686119,0.161723915,0.002119404,CNRM_CM5_RCP45
1.818285281,0.124394605,-2.06E-05,CNRM_CM5_RCP45
3.093757502,0.093038176,8.18E-06,CNRM_CM5_RCP45
0.562870047,0.079980629,0.001910482,CNRM_CM5_RCP45
1.711910091,0.638881166,-0.003474748,CNRM_CM5_RCP45
3.105001716,0.16768485,-2.46E-07,CNRM_CM5_RCP45
0.068129757,0.151912752,2.78E-05,CNRM_CM5_RCP45
-0.036619846,0.124703645,0.000531278,CNRM_CM5_RCP45
0.053131507,0.105598289,0.000437153,CNRM_CM5_RCP45
0.88257273,0.282027672,0.017905954,CNRM_CM5_RCP45
0.039226588,0.3699063,0.000679075,CNRM_CM5_RCP45
-2.501927035,0.04542069,0.00146226,CNRM_CM5_RCP45
-1.118351107,0.021668538,0.000148983,CNRM_CM5_RCP45
0.437767995,0.066578511,0.002021087,CNRM_CM5_RCP45
-0.320138232,-0.260253159,-0.000337796,CNRM_CM5_RCP45
-0.326079059,0.08907017,0.016197691,CNRM_CM5_RCP45
-0.118745869,0.078487483,0.001323535,CNRM_CM5_RCP45
-0.16647888,0.038553282,0.000914434,CNRM_CM5_RCP45
3.067547367,0.092396735,-9.49E-05,CNRM_CM5_RCP45
2.017752409,-0.087920913,-0.000435661,CNRM_CM5_RCP45
0.511997786,0.005747725,-2.95E-06,CNRM_CM5_RCP45
0.700331334,0.029632854,2.43E-05,CNRM_CM5_RCP45
0.25378139,0.029805249,0.000505093,CNRM_CM5_RCP45
0.176833956,-0.003994421,-1.58E-05,CNRM_CM5_RCP45
-0.5400759,0.08176217,1.27E-05,CNRM_CM5_RCP45
-1.091294248,0.018491587,1.28E-05,CNRM_CM5_RCP45
-0.736597048,0.000690888,-3.76E-05,CNRM_CM5_RCP45
0.136294784,0.724458207,0.01898859,CNRM_CM5_RCP45
-2.008383889,0.762540441,5.87E-07,CNRM_CM5_RCP45
3.040545025,1.180490083,0.004665826,CNRM_CM5_RCP45
1.683051884,-0.004441575,-3.23E-05,CNRM_CM5_RCP45
3.170715334,0.028360907,1.78E-06,CNRM_CM5_RCP45
3.398842777,0.00393158,5.19E-06,CNRM_CM5_RCP45
0.293003455,0.025061868,0.000652695,CNRM_CM5_RCP45
1.749977275,0.172892051,0.000103153,CNRM_CM5_RCP45
2.582492246,0.002648809,2.12E-07,CNRM_CM5_RCP45
1.902957743,0.021048027,1.10E-05,CNRM_CM5_RCP45
4.045673888,0.000797121,2.40E-06,CNRM_CM5_RCP45
3.293140871,0.001538512,3.89E-06,CNRM_CM5_RCP45
4.205816631,0.004669063,5.73E-06,CNRM_CM5_RCP45
2.535360119,0.088536611,4.42E-05,CNRM_CM5_RCP45
1.821046171,-0.002294941,0,CNRM_CM5_RCP45
1.632961958,0.001747758,1.32E-06,CNRM_CM5_RCP45
2.571807815,0.002244365,1.65E-06,CNRM_CM5_RCP45
2.082825872,0.003097753,0,CNRM_CM5_RCP45
3.800002946,0.073872814,-6.04E-06,CNRM_CM5_RCP45
-2.399527778,0.150443744,0.000434118,CNRM_CM5_RCP45
