wet_area,peak_flow_red,sed_red,nit_red,habitat_id,model
519.82,177.5,10.61,12.73,302563,run3-wGAP
600.85,179.2,10.64,12.65,302032,run3-wGAP
251.58,157.8,9.73,11.57,302008,run3-wGAP
296.5,162.8,9.69,11.8,301924,run3-wGAP
281.1,160.2,9.75,11.49,301924,run3-wGAP
827.88,179.1,10.74,12.86,301538,run3-wGAP
360.77,167.8,10.31,12.55,301434,run3-wGAP
756.79,182.7,10.74,12.89,301127,run3-wGAP
627.42,179.9,10.81,12.71,300885,run3-wGAP
391.13,170,10.32,12.57,300885,run3-wGAP
543.08,177.2,10.66,12.71,300112,run3-wGAP
482.95,180.3,10.57,12.81,300068,run3-wGAP
417.62,172.8,10.16,12.52,300068,run3-wGAP
266.94,158.2,9.71,11.85,300068,run3-wGAP
290.26,163,10.26,12.45,299548,run3-wGAP
319.79,165,9.85,11.73,299242,run3-wGAP
275.18,161,10.11,12.29,299242,run3-wGAP
397.54,170.7,10.34,12.6,298897,run3-wGAP
694.77,182.9,10.59,12.96,298813,run3-wGAP
753.2,182.4,10.72,12.87,298675,run3-wGAP
262.07,159.1,9.8,11.92,298504,run3-wGAP
653.77,181.4,10.81,12.72,298108,run3-wGAP
281.52,161.2,9.71,11.52,297914,run3-wGAP
909.04,183.4,10.69,12.97,297159,run3-wGAP
692.08,182.6,10.6,13.01,296693,run3-wGAP
678.75,182.1,10.61,12.93,296693,run3-wGAP
349.18,166.6,10.42,12.63,296202,run3-wGAP
619.62,178.3,10.78,12.74,296172,run3-wGAP
283.39,160.4,10.13,12.29,296172,run3-wGAP
248.94,157.6,9.65,11.52,296012,run3-wGAP
362.19,169.8,10.28,12.52,295968,run3-wGAP
405.02,173.2,10.18,12.42,295836,run3-wGAP
253.36,157.1,9.79,11.93,295836,run3-wGAP
272.02,159.6,9.78,11.9,295371,run3-wGAP
711.76,183.1,10.75,12.79,295229,run3-wGAP
527.26,180.6,10.41,12.58,294754,run3-wGAP
559.34,184,10.55,12.73,294017,run3-wGAP
423.33,171.7,10.43,12.65,294003,run3-wGAP
352.73,167.5,10.43,12.66,293421,run3-wGAP
427.35,172.2,10.47,12.67,293233,run3-wGAP
817.72,185.1,10.6,13.05,292992,run3-wGAP
292.04,163.7,10.03,12.45,292678,run3-wGAP
263.03,158.9,9.98,12.24,292678,run3-wGAP
430.46,175.5,10.18,12.45,291948,run3-wGAP
447.82,176.3,10.47,12.57,291880,run3-wGAP
229.16,155.2,9.64,11.4,290551,run3-wGAP
260.57,158.2,9.82,12.14,290507,run3-wGAP
552.32,184.5,10.52,12.85,290371,run3-wGAP
533.81,181,10.43,12.6,289214,run3-wGAP
320.97,163.9,10.25,12.4,288829,run3-wGAP
314.8,165.5,9.92,11.91,287227,run3-wGAP
272.92,161.3,9.68,11.71,287093,run3-wGAP
711.03,183.7,10.53,12.97,286760,run3-wGAP
413.36,172.6,10.22,12.44,286596,run3-wGAP
398.12,169.7,10.45,12.58,286266,run3-wGAP
227.92,155,9.63,11.47,286266,run3-wGAP
605.63,184.5,10.65,12.8,286222,run3-wGAP
