year	month	SPI1_MV	SPI1_AG	SPEI1	SPI3_MV	SPI3_AG	SPEI3	SPI6_MV	SPI6_AG	SPEI6	SPI9_MV	SPI9_AG	SPEI9	SPI12_MV	SPI12_AG	SPEI12	VCI
2002	4	0.743994301	0.631132835	0.71335989	0.704509996	0.64398483	0.583992384	0.193985129	0.029765522	-0.204215414	0.33518377	0.184336068	-0.059006248	0.461368088	0.359258905	0.054080167	0.68069738
2002	5	0.451305039	0.34972175	0.33755461	0.827323207	0.66545012	0.659000036	0.085541731	-0.062747192	-0.278768599	0.376559441	0.246708261	0.016894681	0.39953698	0.268341421	0.059919054	0.636863829
2002	6	0.458523043	0.474699342	0.242394007	0.76059107	0.61135771	0.58685369	0.060889623	-0.081847136	-0.246148874	0.208018469	0.042117489	-0.22526331	0.412321021	0.291053175	0.06452795	0.640090055
2002	7	1.924169326	1.651531596	1.85336072	1.002833199	0.893371509	0.890275235	0.936047362	0.823909669	0.800017958	0.317258752	0.186792439	0.007825551	0.447546649	0.325764336	0.136131605	0.653787921
2002	8	-0.25655758	-0.194103669	-0.154766473	0.896894021	0.834932405	0.749188596	0.999311686	0.801732492	0.865066758	0.174049108	0.055505899	-0.103310426	0.454463681	0.343776001	0.179189334	0.691699441
2002	9	0.702072638	0.594520342	0.766414365	0.888412222	0.707690917	0.984090418	0.984717404	0.756686548	0.951681905	0.249423196	0.133357691	0.028416751	0.336766828	0.208192586	0.012527527	0.652504292
2002	10	0.681718447	0.584658394	0.688423502	0.738789005	0.595211377	0.823730574	0.929979764	0.84157101	1.039232474	1.142149624	0.925515657	1.013094034	0.495798044	0.366873653	0.295856154	0.659552881
2002	11	1.619996757	1.51559774	1.507023583	1.419720594	1.18159399	1.441769084	1.397659163	1.180622882	1.39497742	1.62011935	1.410832382	1.475294033	0.717016964	0.566851283	0.556763281	0.672391584
2002	12	0.497583518	0.383496511	0.271789914	1.17622879	1.10569621	1.199825052	1.208244025	1.125314118	1.284074606	1.306462878	1.19439825	1.301901165	0.771543628	0.637436211	0.669650065	0.608742552
2003	1	-0.542101717	-0.626895449	-0.791802775	0.53575472	0.464725728	0.409253992	0.672253865	0.597062545	0.653594054	0.809408819	0.724548794	0.835918847	0.937970137	0.775651448	0.894100806	0.543556961
2003	2	-0.133320353	-0.204437134	-0.310016234	-0.081185776	-0.242712617	-0.463584222	0.551596313	0.503519236	0.431598914	0.62586936	0.580635501	0.564306128	0.8575825	0.78565904	0.83368381	0.418777567
2003	3	0.770427823	0.664455915	0.657406044	-0.067029908	-0.186994968	-0.370680811	0.618490829	0.546798258	0.43294914	0.716283232	0.668865832	0.657773947	0.828270857	0.832683952	0.813375324	0.468277124
2003	4	0.749371969	0.635779494	0.619374445	0.483332023	0.398107554	0.239551538	0.586815036	0.486361159	0.332196209	0.688766249	0.629728291	0.551267598	0.799893526	0.775304493	0.753421592	0.603959362
